timestamp,product_name,price,url,prediction,category,added_to_cart,page_loads,captured_at
1775330179.588681,"OnePlus Nord Buds 4 Pro TWS Earbuds, Upto 55dB Real-time ANC, Adaptive Mode, 12mm Titanium-Coated Driver, Spatial Audio, Upto 54hrs Playback, Dual-Device connectivity, 47ms Low Latency, Raven Black","3,999
.",https://www.amazon.in/dp/B0GQTSHLLR,54.5,Headphones,False,1,2026-04-05 00:46:19
1775330187.8688571,"OnePlus Nord Buds 3r TWS Earbuds up to 54 Hours Playback, 2-mic Clear Calls, 3D Spatial Audio, AI Translation, 12.4mm Drivers, Dual-Device Connectivity, 47ms Low Latency - Ash Black","1,799
.",https://www.amazon.in/dp/B0FMDL81GS,71.4,Headphones,False,1,2026-04-05 00:46:27
1775330194.12464,"Original True Wireless Bluetooth Earbuds for Oneplus Buds 2R with 12.4mm Drivers, 38 Hours Playback, Microphones for Clear Conversations & Travel Friendly [Black]","999
.",https://www.amazon.in/dp/B0GSJZVB9K,65.3,Headphones,False,1,2026-04-05 00:46:34
1775330222.795646,"OnePlus Watch 2 with Wear OS 4,Snapdragon W5 Chipset,Upto 100hrs battery life,1.43’’ AMOLED Display, Stainless Steel & Sapphire Crystal build,Dual Frequency GPS, 5 ATM, IP68 & BT Calling (Black Steel)","13,999.",https://www.amazon.in/dp/B0CVQDZWVX,49.0,TVs & Displays,False,1,2026-04-05 00:47:02
1775330234.602839,"OnePlus Watch 2R with Wear OS 4 by Google,Snapdragon W5 Chipset,Upto 100hrs Battery Life,1.43’’ AMOLED Display,100+ Sports Mode,Dual Frequency GPS,5 ATM,IP68 & BT Calling [Gunmetal Gray]","12,999.",https://www.amazon.in/dp/B0D7MDJ9YZ,59.8,TVs & Displays,False,2,2026-04-05 00:47:14
1775330249.7242932,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalised Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone","11,900
.",https://www.amazon.in/dp/B0DGJLL7V1,51.4,Headphones,False,1,2026-04-05 00:47:29
1775330261.444563,Apple EarPods (USB-C) ​​​​​​​,349.,https://www.amazon.in/dp/B0DCNWN8NZ,44.5,Other,False,1,2026-04-05 00:47:41
1775330274.8691661,"iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Cloud White","94,990.",https://www.amazon.in/dp/B0FQFLWN5Z,41.2,Mobiles,False,1,2026-04-05 00:47:54
1775330290.565672,"Nothing Phone (4a) Pro (Silver, 8GB, 256GB)","44,500
.",https://www.amazon.in/dp/B0GRG8XGQX,39.7,Mobiles,False,1,2026-04-05 00:48:10
1775330312.911453,"OnePlus Nord Buds 3 Pro Truly Wireless Bluetooth Earbuds with Upto 49dB Active Noise Cancellation,12.4mm Dynamic Drivers,10mins for 11Hrs Fast Charging with Upto 44Hrs Music Playback [Starry Black]","2,999
.",https://www.amazon.in/dp/B0D7HZ3KK9,62.3,Headphones,True,2,2026-04-05 00:48:32
1775330476.398043,LG 139 cm (55 inches) UA82 AI Series 4K Ultra HD (3840 x 2160) Smart webOS LED TV 55UA82006LA,"40,990
.",https://www.amazon.in/dp/B0F8343CVL,42.3,TVs & Displays,False,1,2026-04-05 00:51:16
1775330489.8421278,"Wipro Elato Divine FMG 215 800 Watt Mixer Grinder with 4 Jars,Heavy Duty 100% Copper Ball Bearing Motor with 5 Year Warranty,Superfast Grinding,Clip Lids - Hands Free use, 4 Jars Mixer Grinder,Black","5,999
.",https://www.amazon.in/dp/B0FH5FVT3Y,45.6,Home Appliances,False,1,2026-04-05 00:51:29
1775330516.4358258,"Oppo Reno15 5G (Twilight Blue, 12GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","48,999.",https://www.amazon.in/dp/B0G8XGVQ69,53.5,Mobiles,False,2,2026-04-05 00:51:56
1775330521.1131678,"iPhone 16e 512 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black","89,900.",https://www.amazon.in/dp/B0DXQJ1M7H,50.0,Mobiles,False,1,2026-04-05 00:52:01
1775330594.139627,"New CSk Jersey 2026 Dhoni Yellow Tshirt for (Kids,Men&Boys)",269,https://www.amazon.in/dp/B0GR5316NV,32.8,Fashion,False,1,2026-04-05 00:53:14
1775384016.9121976,"Mackie Thrash, 15-Inch 1300W XLR Powered Loudspeaker, Black (Thrash215)","35,999
.",https://www.amazon.in/dp/B09NWGYVLD,95.5,Speakers,True,2,2026-04-05 15:43:36
